Campaign,Ad Group,Ad,product_name,product_url,sku_suffix,skus,disocunt_code,utm_source,utm_medium,utm_campaign,utm_term,product_template,Status
"Prospecting, CBO","Original 50% Off, Broad Targeting","Basic Ad, 24 roll, Static image, Orange LP","100% bamboo toilet paper, 3-ply × 24 rolls, 50% OFF",100-bamboo-toilet-paper-3-ply-24-rolls-50-off,A,"14641002a, 14641003a",,facebook,cpc,50% Original,Beige Hero,,Off
"Prospecting, CBO",Free Shipping A/B test (Jan '26),"50%, Ad1, 24 rolls, free shipping","100% bamboo toilet paper, 3-ply × 24 rolls, 50% FREE SHIPPING",doogood-bamboo-toilet-paper-50-free-shipping,B,"14641002b, 14641003b",CAY950,facebook,paid social,free-shipping,50_pct_free_shipping,lp-product-7.0,Off
"Prospecting, CBO","26/01, Eco Interested + Engaged Shoppers",Various UGC ads,"100% bamboo toilet paper, 3-ply, 24 or 48 rolls, 40% OFFER",bamboo-toilet-paper-40-offer,C,"14641002c, 14641003c",QDP40,facebook,paid social,jan-26-L1-ugc,Various,lp-product-8.0,On
"Prospecting, CBO","26/01, Lookalike + Engaged Shoppers",Various UGC ads,"100% bamboo toilet paper, 3-ply, 24 or 48 rolls, 40% OFFER",bamboo-toilet-paper-40-offer,C,"14641002c, 14641003c",RSZ40,facebook,paid social,jan-25-L1-LL,Various,lp-product-8.1,On
"Prospecting, CBO","26/01, Lookalike + Engaged Shoppers",Various UGC ads,"100% bamboo toilet paper, 3-ply, 24 or 48 rolls, 40% OFFER",bamboo-toilet-paper-40-offer,C,"14641002c, 14641003c",RSZ40,facebook,paid social,feb-26-L1-LL,Various,lp-product-8.1,On
"Retargeting, CBO","26/01, L2 Merged, £10 off",Various,"100% bamboo toilet paper, 3-ply, 24 or 48 rolls, 25% OFFER",bamboo-toilet-paper-25-offer,D,"14641002d, 14641003d",QM825,facebook,paid social,jan-26-L2-SG,Various,lp-product-8.2,Off
Old,50% Discount (Jan '26),,,,,,,,,50_percent_jan,,,
Old,"50% Discount (Jan '26) – Discount Code, Variants",,,,,,,,,50_pct_jan_variants,,,
Old,"Black Static Ads, Free Rolls, Broad Targeting",,,,,,,,,black_static,,,
Old,"Carousel, Orange Hero, 50% Off, 3x Audiences",,,,,,,,,orange_carousel,,,
Old,Not perfect. Just Better.,,,,,,,,,not_perfect,,,
Old,"Orange Static Ads, 50% Off, Broad Targeting",,,,,,,,,orange_static,,,
Old,Rendr CRO - Original,,,,,,,,,rendr_original,,,
Old,Ultra Low Price,,,,,,,,,Ultra Low Price,,,
"Retention, CBO",,,,,,,,,,,,,